data_type,metric,comparison_type,condition,n,mean_or_mean_diff,ci_lo,ci_hi,p_value,cohens_d
manifold_projection,delta_total_variance,one_sample_vs_0,IM,18,-0.024309988814602126,-0.05803575356442486,0.004971921781630938,0.15858414158584141,-0.349888152861043
manifold_projection,delta_total_variance,one_sample_vs_0,WMP,18,0.0027572496770760023,-0.01866243708034264,0.02563382926609959,0.8133186681331867,0.05515248565447522
manifold_projection,delta_total_variance,one_sample_vs_0,OMP,18,-0.010542144385000705,-0.03087399762102533,0.009845163906906821,0.3347665233476652,-0.2340166873241111
manifold_projection,delta_total_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.02706723849167813,-0.0697195411352298,0.004928484212359165,0.21277872212778723,-0.3203986437281075
manifold_projection,delta_total_variance,pairwise_IM_vs_OMP,IM vs OMP,18,-0.013767844429601422,-0.04685198932049111,0.017474457698552607,0.42275772422757724,-0.1906842671150183
manifold_projection,delta_total_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.013299394062076706,-0.02334771055958475,0.05106264756262116,0.515948405159484,0.1594024263766003
manifold_projection,delta_average_variance,one_sample_vs_0,IM,18,-0.008414692033048668,-0.04002579379997425,0.01866621540929583,0.6317368263173683,-0.12909774249962566
manifold_projection,delta_average_variance,one_sample_vs_0,WMP,18,0.0029865506053162317,-0.014691259770820224,0.022026307666054956,0.7611238876112388,0.07147476649531108
manifold_projection,delta_average_variance,one_sample_vs_0,OMP,18,-0.009723247167361365,-0.02629505516819702,0.0072076968786500455,0.27757224277572246,-0.2606765180438255
manifold_projection,delta_average_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.011401242638364896,-0.0532479893567391,0.01883196588181335,0.6751324867513249,-0.13958115460033527
manifold_projection,delta_average_variance,pairwise_IM_vs_OMP,IM vs OMP,18,0.0013085551343127008,-0.029034093877257916,0.029148421403014064,0.9373062693730627,0.019921387144270546
manifold_projection,delta_average_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.0127097977726776,-0.01841882947394485,0.04465232029308369,0.46035396460353967,0.17928569786438783
voxel_data,delta_total_variance,one_sample_vs_0,IM,18,-0.12133443964263008,-0.24810011542869764,-0.003578313912091765,0.08539146085391461,-0.4377561856591396
voxel_data,delta_total_variance,one_sample_vs_0,WMP,18,-0.0010007532219807997,-0.07707753144608566,0.07624284099152147,0.9783021697830216,-0.005842320882587251
voxel_data,delta_total_variance,one_sample_vs_0,OMP,18,-0.05684464748790436,-0.11793505537343123,-0.0012513055433528524,0.08819118088191182,-0.42794199485852064
voxel_data,delta_total_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.12033368642064929,-0.28789297621277327,0.027716778666398535,0.17018298170182983,-0.3415046857331588
voxel_data,delta_total_variance,pairwise_IM_vs_OMP,IM vs OMP,18,-0.06448979215472574,-0.2071947877944865,0.07564316029777272,0.40415958404159585,-0.20081000288036585
voxel_data,delta_total_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.05584389426592356,-0.050125845575695285,0.1745088924257708,0.384961503849615,0.2215625352526719
voxel_data,delta_average_variance,one_sample_vs_0,IM,18,0.0012002526932329521,-0.11132163224996529,0.11038047445839431,0.9931006899310069,0.004786226363806375
voxel_data,delta_average_variance,one_sample_vs_0,WMP,18,-0.006754744765730522,-0.07150840386414145,0.07054947823174011,0.8725127487251275,-0.04225623776554366
voxel_data,delta_average_variance,one_sample_vs_0,OMP,18,-0.044616484746025725,-0.11114038233607111,0.018294881287961345,0.21237876212378762,-0.30411282918126076
voxel_data,delta_average_variance,pairwise_IM_vs_WMP,IM vs WMP,18,0.007954997458963473,-0.1565858938253443,0.1510264779211527,0.9367063293670633,0.023044205268787313
voxel_data,delta_average_variance,pairwise_IM_vs_OMP,IM vs OMP,18,0.045816737439258674,-0.07161445500282114,0.1633579172416545,0.4687531246875312,0.17223353247595982
voxel_data,delta_average_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.037861739980295205,-0.06304130814306011,0.1527830410922198,0.5415458454154585,0.1561895384465135
component_data,delta_total_variance,one_sample_vs_0,IM,18,-0.02479649534991057,-0.058784719592571734,0.004867684873163099,0.15178482151784822,-0.3537546345379598
component_data,delta_total_variance,one_sample_vs_0,WMP,18,0.002413082196720775,-0.019501090176262496,0.025686519226249996,0.8415158484151585,0.04719294859901303
component_data,delta_total_variance,one_sample_vs_0,OMP,18,-0.010591235804644192,-0.030673962694217544,0.009789661142250848,0.3287671232876712,-0.23594787455748642
component_data,delta_total_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.027209577546631347,-0.07049102856645491,0.005183560676267052,0.21657834216578342,-0.3166234446410042
component_data,delta_total_variance,pairwise_IM_vs_OMP,IM vs OMP,18,-0.014205259545266373,-0.04764327770452848,0.017350846327627553,0.41475852414758524,-0.19418393216615742
component_data,delta_total_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.01300431800136497,-0.023819559367405537,0.051068049876058716,0.5277472252774722,0.1543246000095276
component_data,delta_average_variance,one_sample_vs_0,IM,18,-0.008909878312207284,-0.04072756496004166,0.018290058810905247,0.6119388061193881,-0.13598363809947966
component_data,delta_average_variance,one_sample_vs_0,WMP,18,0.002887142451264266,-0.015099269066836337,0.022320315060417244,0.7723227677232277,0.0680489324617798
component_data,delta_average_variance,one_sample_vs_0,OMP,18,-0.009840443856273529,-0.026411334335604754,0.007113595818738843,0.272972702729727,-0.2634063480521154
component_data,delta_average_variance,pairwise_IM_vs_WMP,IM vs WMP,18,-0.011797020763471546,-0.054103174020973886,0.018775895181903878,0.6713328667133287,-0.14315640762595083
component_data,delta_average_variance,pairwise_IM_vs_OMP,IM vs OMP,18,0.0009305655440662462,-0.029701551244172845,0.02910210268010722,0.9599040095990401,0.014003306666020522
component_data,delta_average_variance,pairwise_WMP_vs_OMP,WMP vs OMP,18,0.012727586307537796,-0.018803401548314884,0.04490633106446801,0.4647535246475352,0.17782207239739253
